Date,High,Low,Open,Status,DateTime,year,month,day,30d_avg,Std,RSI,Williams %R
9/30/2015,442.0,442.0,442.0,-1,2015-09-30,2015,9,30,485.6666666666667,24.150866812937778,37.3930068824251,-100.0
10/1/2015,455.0,455.0,455.0,1,2015-10-01,2015,10,1,485.8333333333333,23.912315876444925,43.21607283091708,-55.17241379310345
10/4/2015,455.0,455.0,455.0,0,2015-10-04,2015,10,4,486.03333333333336,23.616889534071483,43.21607283091708,-43.47826086956522
10/5/2015,460.0,460.0,460.0,1,2015-10-05,2015,10,5,484.9,24.033525434853573,45.478090230051635,-0.0
10/6/2015,445.0,445.0,445.0,-1,2015-10-06,2015,10,6,482.46666666666664,24.261127320278067,40.292473834578416,-83.33333333333334
10/7/2015,440.0,440.0,440.0,-1,2015-10-07,2015,10,7,479.2,23.09560340306987,38.708079710218634,-100.0
10/8/2015,450.0,450.0,450.0,1,2015-10-08,2015,10,8,477.0,22.607597136273263,43.49382803996821,-50.0
10/11/2015,504.0,504.0,504.0,1,2015-10-11,2015,10,11,476.93333333333334,22.52191780487098,61.139367396885234,-0.0
10/14/2015,540.0,540.0,540.0,1,2015-10-14,2015,10,14,478.1333333333333,24.852299322383917,68.25626209254692,-0.0
10/15/2015,485.0,485.0,485.0,-1,2015-10-15,2015,10,15,477.43333333333334,24.33060132671836,52.45162596520736,-55.0
10/18/2015,490.0,490.0,490.0,1,2015-10-18,2015,10,18,476.93333333333334,23.894788543538084,53.50561123407167,-50.0
10/19/2015,492.0,492.0,492.0,1,2015-10-19,2015,10,19,476.8,23.795682019198143,53.94537234463937,-48.0
10/25/2015,490.0,490.0,490.0,-1,2015-10-25,2015,10,25,476.46666666666664,23.52802193326339,53.401428785776694,-55.55555555555556
10/27/2015,472.0,472.0,472.0,-1,2015-10-27,2015,10,27,476.0,23.471185562819514,48.64715405277685,-99.99999999999999
10/28/2015,463.0,463.0,463.0,-1,2015-10-28,2015,10,28,475.5,23.586597597090304,46.421756263882074,-100.0
10/29/2015,470.0,470.0,470.0,1,2015-10-29,2015,10,29,475.3666666666667,23.606666699130727,48.3989488636448,-75.86206896551725
11/1/2015,469.0,469.0,469.0,-1,2015-11-01,2015,11,1,474.7,23.490496978055443,48.125721369924065,-79.3103448275862
11/2/2015,450.0,450.0,450.0,-1,2015-11-02,2015,11,2,473.1666666666667,23.553436433273646,43.14227492823834,-100.0
11/3/2015,455.0,455.0,455.0,1,2015-11-03,2015,11,3,472.3333333333333,23.744811895531907,44.763269621597864,-87.5
11/4/2015,449.0,449.0,449.0,-1,2015-11-04,2015,11,4,471.56666666666666,24.124223529881974,43.17264853440199,-100.0
11/5/2015,463.0,463.0,463.0,1,2015-11-05,2015,11,5,471.0,24.1189580606461,47.830868673710405,-33.333333333333336
11/8/2015,451.0,451.0,451.0,-1,2015-11-08,2015,11,8,469.03333333333336,23.217834009487746,44.466284993469955,-90.47619047619048
